"id";"test_sentence";"type";"gram";"comp_question";"question_answer"
81;"In het nieuwe kabinet hebben de nieuwe ministers debatteren over de begroting.";"FILLER";"INCORRECT";"";
82;"Gisteren moesten alle eerstejaars studenten hun eindopdracht inleveren bij hun docent.";"FILLER";"CORRECT";"Was gisteren de deadline voor eindopdrachten voor alle eerstejaars studenten?";"y"
83;"Nachtenlang zou mijn beste vriendin Miranda in haar bed gehuild om haar verloren geliefde.";"FILLER";"INCORRECT";"";
84;"De leerlingen moest naar eigen zeggen te veel vakken volgen.";"FILLER";"INCORRECT";"";
85;"De manifestatie zou voor veel onrust en commotie in de stad gezorgd hebben.";"FILLER";"CORRECT";"";
86;"Wegens de financiële catastrofe heeft de afdelingschef een spoedvergadering belegd.";"FILLER";"CORRECT";"Was een fusie  de reden van de spoedvergadering?";"n"
87;"Het aardige leraar was bij veel leerlingen geliefd.";"FILLER";"INCORRECT";"";
88;"De piloot moest met het gammele vliegtuig een noodlanding maken.";"FILLER";"CORRECT";"";
89;"De NCRV heeft het gehekelde komiek ontslagen.";"FILLER";"INCORRECT";"Kan de komiek bij de NCRV blijven werken?";"n"
90;"De toeristen bekeken het schitterende uit 1850 stammende fontein met bewondering.";"FILLER";"CORRECT";"";
91;"De rijke man kocht de door één van de beste ruiters getrainde paard voor zijn dochter.";"FILLER";"INCORRECT";"";
