"id";"test_sentence";"type";"gram";"comp_question";"question_answer"
1;"Het goedgeklede man krijgt altijd veel aandacht van zijn vrouwelijke collega’s.";"CRITICAL";"INCORRECT";;
2;"Het zeer beroemde fotograaf heeft al veel prestigieuze prijzen gewonnen. ";"CRITICAL";"INCORRECT";;
3;"Het ziekelijke bejaarde werd met een longontsteking in het ziekenhuis opgenomen.";"CRITICAL";"INCORRECT";;
4;"De vader gaf het vervelende jongen een draai om zijn oren. ";"CRITICAL";"INCORRECT";;
5;"Duizenden bezoekers waren gisteren bij de première van het fantastische film aanwezig. ";"CRITICAL";"INCORRECT";;
6;"De marine heeft het gekantelde onderzeeër met veel moeite overeind getrokken.";"CRITICAL";"INCORRECT";;
7;"De goed getrainde paard nam de hindernissen zonder enige moeite.";"CRITICAL";"INCORRECT";;
8;"De opgewekte meisje is erg geliefd onder haar leeftijdgenootjes. ";"CRITICAL";"INCORRECT";;
9;"Vooral onder jongeren is de vernieuwende tijdschrift erg populair. ";"CRITICAL";"INCORRECT";;
10;"Voor zijn verjaardag kreeg Floris de prijswinnende boek van A.F.Th van der Heijden. ";"CRITICAL";"INCORRECT";;
11;"Het ooit bijna tot miss Nederland verkozen vrouw werkt nu als topmodel. ";"CRITICAL";"INCORRECT";;
12;"Het op het dek heen en weer zwalkende dronken kapitein viel plotseling over boord. ";"CRITICAL";"INCORRECT";;
13;"Het alom gerespecteerde en kundige hoogleraar moest door bezuinigingen ontslagen worden. ";"CRITICAL";"INCORRECT";;
14;"Het in de Verenigde Staten gezochte sluipmoordenaar lijkt weer te hebben toegeslagen. ";"CRITICAL";"INCORRECT";;
15;"Met kerst kreeg het meisje eindelijk het speciaal in Zuid-Frankrijk bestelde nieuwe jurk en bijpassende hoed. ";"CRITICAL";"INCORRECT";;
16;"Mijn opa en oma bewerken het met allerlei groenten en kruiden volstaande moestuin al jaren met veel plezier. ";"CRITICAL";"INCORRECT";;
17;"De gemeente zal het eeuwenoude maar helaas bijna dode boom volgende week omkappen. ";"CRITICAL";"INCORRECT";;
18;"De in het koninklijke theater gespeelde toneelstuk viel niet in de smaak bij de critici. ";"CRITICAL";"INCORRECT";;
19;"De door de woeste watermassa beschadigde huis zag er niet al te best meer uit.";"CRITICAL";"INCORRECT";;
20;"De postzegelverzamelaar pakte de door de tijd vergeelde en beschadigde verzamelalbum voorzichtig vast. ";"CRITICAL";"INCORRECT";;
21;"Gisteren kon mijn aardige vader gekookt voor mijn moeder. ";"CRITICAL";"INCORRECT";;
22;"Vanavond moet de beroemde tenor opgetreden voor een deftig gezelschap.";"CRITICAL";"INCORRECT";;
23;"Onder het balkon moest Romeo als een engel gezongen voor zijn Julia.";"CRITICAL";"INCORRECT";;
24;"Vrouwen zouden meer rechten en plichten gekregen de laatste eeuwen. ";"CRITICAL";"INCORRECT";;
25;"Daan kon een mooie mountainbike gekocht van zijn spaargeld. ";"CRITICAL";"INCORRECT";;
26;"De schilder moest een goed lijkend portret gemaakt van zijn zus. ";"CRITICAL";"INCORRECT";;
27;"De horlogemaker heeft het horlogebandje repareren met zijn nieuwe gereedschap. ";"CRITICAL";"INCORRECT";;
28;"Vader heeft zijn dochter Marieke helpen met haar huiswerk. ";"CRITICAL";"INCORRECT";;
29;"Sinds het begin van de vorige eeuw hebben de Olympische spelen plaatsvinden in landen over de hele wereld. ";"CRITICAL";"INCORRECT";;
30;"Tijdens zijn leven heeft de schilder Vincent van Gogh wonen in verschillende landen. ";"CRITICAL";"INCORRECT";;
31;"De jongen zal ondanks de harde regen door de Betuwe gefietst met zijn nieuwe ligfiets. ";"CRITICAL";"INCORRECT";;
32;"De moeder kan, ondanks dat zij haar enkel verstuikt heeft, gewoon meegedaan met de volleybalwedstrijd. ";"CRITICAL";"INCORRECT";;
33;"Petra kan, ondanks de zeurende pijn in haar buik, haar bord leeggegeten zonder te huilen. ";"CRITICAL";"INCORRECT";;
34;"Met hulp van de aardige oppasser moeten de twee dolfijnen veel moeilijke kunstjes geleerd, wat hen zeer populair maakt bij het publiek.";"CRITICAL";"INCORRECT";;
35;"Komende kerst zal de nieuwe kleuterschool een leuk toneelstukje opgevoerd voor de ouders. ";"CRITICAL";"INCORRECT";;
36;"Toen ik gisteren een wandeling maakte, heb ik ontzettend veel spreeuwen en zwaluwen zien in het bos.";"CRITICAL";"INCORRECT";;
37;"Urenlang hebben Hans en Grietje door het griezelige bos stappen op zoek naar hun ouders. ";"CRITICAL";"INCORRECT";;
38;"Met een jute zak, een klos garen en naald en draad heeft de couturier een prachtige avondjurk maken voor de extravagante popster. ";"CRITICAL";"INCORRECT";;
39;"De bloemiste heeft nooit in haar carrière zo´n groot bloemstuk maken, als voor de bruiloft van Willem-Alexander en Maxima. ";"CRITICAL";"INCORRECT";;
40;"Johan heeft van zijn lelijke tante een kleffe zoen krijgen op zijn verjaardag. ";"CRITICAL";"INCORRECT";;
41;"De geverfde boot gleed over het meer.";"CRITICAL";"CORRECT";;
42;"De schriftelijke opleiding is bij de LOI verkrijgbaar. ";"CRITICAL";"CORRECT";;
43;"De groeiende plant had wat extra Pokon nodig. ";"CRITICAL";"CORRECT";;
44;"Mijn ouders namen de ijverige schoonmaakster meteen in dienst. ";"CRITICAL";"CORRECT";;
45;"De zieke vrouw kreeg van de vriendelijke groenteboer een paar sinaasappels cadeau. ";"CRITICAL";"CORRECT";"Kreeg de vrouw een paar appels cadeau?";"n"
46;"Archeologen hebben bij Maastricht de eeuwenoude nederzetting opgegraven.";"CRITICAL";"CORRECT";;
47;"De ambassadeur ontving de belangrijke gast uiterst gastvrij. ";"CRITICAL";"CORRECT";;
48;"Het ruziënde stel zweeg een lange tijd. ";"CRITICAL";"CORRECT";;
49;"Het hongerige kind huilde om eten. ";"CRITICAL";"CORRECT";;
50;"De dierenambulance bracht het doodsbange konijn met spoed naar de dierenarts. ";"CRITICAL";"CORRECT";;
51;"De door de regering al aangekondigde bezuiniging op het hoger onderwijs baart mij grote zorgen. ";"CRITICAL";"CORRECT";;
52;"De door de tuinman uitstekend onderhouden tuin staat vol met bloeiende planten. ";"CRITICAL";"CORRECT";;
53;"De voor mijn grootmoeder ontzettend schokkende mededeling bezorgde haar een hartaanval. ";"CRITICAL";"CORRECT";"Kreeg mijn oma een hartaanval?";"y"
54;"De met chemicaliën verontreinigde sloot zorgt in de nabije omgeving voor gezondheidsproblemen. ";"CRITICAL";"CORRECT";"Verontreinigden de chemicaliën een rivier?";"n"
55;"De boerin melkt de dartele wit met zwart gevlekte bonte koe iedere dag.";"CRITICAL";"CORRECT";;
56;"De gemeente wil de uit 1850 stammende werkende molen slopen. ";"CRITICAL";"CORRECT";"Stamde de molen uit 1850?";"y"
57;"Het kabinet heeft de door zijn verleden in opspraak geraakte minister naar huis gestuurd. ";"CRITICAL";"CORRECT";"Heeft de koningin de minister naar huis gestuurd?";"n"
58;"Het pas door de burgemeester geopende museum heeft al veel bezoekers getrokken.";"CRITICAL";"CORRECT";;
59;"Het voor normale auto’s onbegaanbare terrein is voor mijn vaders 4WD een uitdaging. ";"CRITICAL";"CORRECT";;
60;"De duikers hebben het op tientallen meters diepte liggende wrak uitgebreid bekeken. ";"CRITICAL";"CORRECT";;
61;"Door het lekkere weer zullen er waarschijnlijk meer mensen wandelen in het park. ";"CRITICAL";"CORRECT";;
62;"In de winter kunnen we in Nederland heel soms schaatsen op natuurijs. ";"CRITICAL";"CORRECT";"Kunnen we in Nederland vaak schaatsen op natuurijs?";"n"
63;"Noord-Korea zal nucleaire wapens inzetten wanneer daar volgens de leider van het land reden toe is.";"CRITICAL";"CORRECT";"Zal de leider van Noord-Korea indien nodig biologische wapens gebruiken?";"n"
64;"De chirurg kan een fatale blunder maken als de stroom uitvalt. ";"CRITICAL";"CORRECT";;
65;"Het moet een vervelend karweitje zijn om de tuin om te spitten. ";"CRITICAL";"CORRECT";;
66;"Sinds de opening van het sportcentrum hebben Utrechtse studenten meer gesport dan ooit tevoren. ";"CRITICAL";"CORRECT";;
67;"Door de recente recessie hebben minder particulieren belegd in ICT fondsen.";"CRITICAL";"CORRECT";;
68;"Na de aanslag van Bin Laden hebben minder Amerikanen gevlogen met Amerikaanse vliegmaatschappijen. ";"CRITICAL";"CORRECT";"Is er in Amerika door de aanslag minder gevlogen?";"y"
69;"De mode-ontwerpster heeft een prachtige witte jurk gemaakt voor koningin Maxima. ";"CRITICAL";"CORRECT";;
70;"Het vervelende kind heeft voor grote problemen gezorgd in de klas. ";"CRITICAL";"CORRECT";;
71;"Mijn zoontje kan de bal nooit door de ruit van onze buren geschoten hebben. ";"CRITICAL";"CORRECT";;
72;"De kok kon de mooie rijpe avocado´s als een mousse verwerken in zijn voorgerechten. ";"CRITICAL";"CORRECT";"Gebruikte de kok de avocado's in een nagerecht?";"n"
73;"In Frankrijk zal op 14 juli een groot feest met vuurwerk gehouden worden ter ere van de bestorming van de Bastille in 1789.";"CRITICAL";"CORRECT";;
